epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,31557.4,0.88674,1.24126,0.76617,0.0063,0.53559,0.80563,0.73441,0.78712,0.61197,0.79119,0.74336,0.78013,0.60052,1.23036,2.0075,1.31056,0.02177,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,31947.1,0.88056,1.24711,0.76394,0.00638,0.52046,0.8167,0.72565,0.79037,0.61771,0.82009,0.72522,0.78699,0.60432,1.2342,2.00144,1.27646,0.02169,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,32337,0.86167,1.21108,0.74268,0.00621,0.49978,0.80233,0.72718,0.78922,0.61822,0.80341,0.73475,0.78765,0.60414,1.23523,1.99058,1.2896,0.0218,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,32728.6,0.86389,1.2299,0.743,0.00611,0.51142,0.8181,0.72536,0.79119,0.61639,0.81934,0.72217,0.7835,0.59951,1.24548,2.05014,1.30221,0.02189,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,33120.4,0.86833,1.22418,0.75152,0.00627,0.49959,0.81945,0.73301,0.79084,0.61528,0.81256,0.73373,0.7826,0.60253,1.23087,2.01183,1.29875,0.02172,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,33512.2,0.87267,1.25685,0.75514,0.00622,0.5119,0.80791,0.73717,0.79093,0.61891,0.80421,0.73301,0.7828,0.60414,1.22117,2.01889,1.25834,0.02128,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,33904.8,0.85154,1.21637,0.72602,0.00605,0.47185,0.85285,0.71055,0.78878,0.61789,0.85411,0.71049,0.78395,0.6048,1.21789,2.01946,1.2797,0.02114,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,34297.9,0.86028,1.23972,0.7278,0.0061,0.48145,0.83827,0.71537,0.78581,0.61415,0.83994,0.71307,0.78131,0.60118,1.22669,2.01632,1.27939,0.02138,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,34690.1,0.85056,1.20143,0.71638,0.0059,0.46952,0.83691,0.71286,0.7898,0.61681,0.81692,0.72404,0.78027,0.603,1.22543,2.01831,1.28594,0.02143,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,35082.1,0.84015,1.20545,0.70828,0.00608,0.47555,0.81151,0.72694,0.78922,0.61287,0.8041,0.73533,0.78291,0.60082,1.22375,1.98892,1.27858,0.02146,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,35472.7,0.84414,1.20586,0.703,0.0058,0.47985,0.83163,0.72978,0.79012,0.61696,0.82958,0.73374,0.78447,0.60395,1.22716,2.03151,1.28351,0.02152,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,35860.6,0.96875,1.35222,0.678,0.01118,0.22844,0.81005,0.7191,0.78474,0.61064,0.81809,0.72019,0.77773,0.59994,1.23785,2.03765,1.31527,0.02188,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,36246,0.9378,1.30827,0.63242,0.01091,0.21371,0.81654,0.71693,0.7838,0.61398,0.81142,0.71915,0.7782,0.60321,1.23004,2.02987,1.31819,0.0216,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,36633.2,0.92394,1.30083,0.60802,0.01057,0.21225,0.79905,0.74355,0.78682,0.61305,0.80798,0.73526,0.78081,0.60383,1.24774,2.05547,1.33401,0.022,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,37020,0.90716,1.27015,0.58863,0.01044,0.20705,0.80515,0.74003,0.78452,0.6159,0.80634,0.74075,0.78225,0.60438,1.2353,2.07126,1.34795,0.02159,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,37406.5,0.88625,1.24705,0.59094,0.01003,0.19722,0.818,0.72328,0.7858,0.6163,0.81822,0.72366,0.78099,0.60437,1.2321,2.08288,1.34213,0.0215,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,37792,0.86925,1.23285,0.55618,0.00987,0.1867,0.80125,0.72722,0.78404,0.61824,0.76718,0.75257,0.77893,0.60472,1.2428,2.09536,1.33777,0.02157,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,38178.8,0.86933,1.21879,0.55566,0.00958,0.19278,0.81053,0.72557,0.78725,0.62035,0.79278,0.73831,0.78041,0.60848,1.23171,2.10137,1.34785,0.02135,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
